ID,VK Group ID,Название,Screen Name,Город,Подписчики,Контакты,Ссылка
517,83969918,"Y.M.STUDIO","umakhakova","Сарапул",4844,"","https://vk.com/umakhakova"
192,54142254,"Ветеринарная клиника ""ДокторВЕТ"" г. Сарапул","doktorvetsarapul","Сарапул",4840,"","https://vk.com/doktorvetsarapul"
6,168099183,"Зоопомощь Сарапул","sarapulpets","Сарапул",4327,"Зооволонтер   (https://vk.com/id8649645), Админ   (https://vk.com/id163845191), Зооволонтер   (https://vk.com/id619657969)","https://vk.com/sarapulpets"
559,78403282,"Добро Сарапул","dobrosarapul","Сарапул",4283,"Волонтер   (https://vk.com/id8649645), Администратор   (https://vk.com/id9269821)","https://vk.com/dobrosarapul"
15,74997726,"""Отдам в хорошие руки"" г. Сарапул","club74997726","Сарапул",3893,"вопросы в сообщения группы","https://vk.com/club74997726"
525,221779848,"Наращивание волос Сарапул | ОБЪЁМ |ОКРАШИВАНИЕ","barbieheir","Сарапул",3061,"","https://vk.com/barbieheir"
10,144604429,"Благотворительный фонд ""ПОДАРИ ЖИЗНЬ"" г. Сарапул","giftlife18","Сарапул",2832,"","https://vk.com/giftlife18"
203,154628619,"Sarapul Fishing Club （SFC）","sar_fish_club","Сарапул",2538,"","https://vk.com/sar_fish_club"
201,147636631,"Canna Eywa - продукты для здоровья и красоты","cannaeywa","Сарапул",2458,"Руководитель   (https://vk.com/id201408917)","https://vk.com/cannaeywa"
2,64216448,"Сарапульский  клуб собаководства ""КОВЧЕГ""","klub.kovcheg","Сарапул",2072,"Председатель клуба 8-912-855-81-65  (https://vk.com/id12618657), Администратор группы,размещение рекламы   (https://vk.com/id12373522), секретарь (инструктор по дрессировке) 79127547113  (https://vk.com/id216979283)","https://vk.com/klub.kovcheg"
28,130205646,"Салон красоты ""Камелия"", г. Сарапул","camelia_sarapul","Сарапул",1989,"","https://vk.com/camelia_sarapul"
3,94123590,"Ищу хозяина. Животные Сарапул, Ижевск.","animal18","Сарапул",1956,"Создатель   (https://vk.com/id23199124)","https://vk.com/animal18"
170,174532894,"Отель для собак и кошек ""УЮТНЫЙ ДОМ""","hotelfordog","Сарапул",1885,"","https://vk.com/hotelfordog"
187,145468028,"Объявления о животных Удмуртия","o_udm","Сарапул",1848,"Администартор ,реклама и сотрудничество   (https://vk.com/id12373522), Администратор,реклама и сотрудничество   (https://vk.com/id12618657)","https://vk.com/o_udm"
490,165434756,"Ветеринарный центр ВетМир","vc.vetmir","Сарапул",1387,"Ветеринарный врач    (https://vk.com/id25712888), Ветеринарный врач   (https://vk.com/id11591301), Ветеринарный фельдшер   (https://vk.com/id237468096), Ветеринарная клиника   (https://vk.com/id1076891150)","https://vk.com/vc.vetmir"
11,98257561,"Бюро Находок | Потеряшки Животные | Сарапул","poteryashki_sarapul","Сарапул",1362,"","https://vk.com/poteryashki_sarapul"
191,203367990,"БУ УР ""Сарапульская межрайСББЖ""","club203367990","Сарапул",1129,"(https://vk.com/id341587557), Приемная 73412220056 sarapulsbbzh@yandex.ru","https://vk.com/club203367990"
520,204780735,"Площадка. Местный барбершоп. Сарапул","ploshadka.sarapul","Сарапул",1084,"Администратор  79821230632  (https://vk.com/id656151836)","https://vk.com/ploshadka.sarapul"
171,224215833,"Grooming Room (стрижка собак и кошек)","grooming_room_sarapul","Сарапул",1075,"","https://vk.com/grooming_room_sarapul"
494,93153909,"Зоомагазин | Зоотовары","zoonyanya2024","Сарапул",994,"(https://vk.com/id295767882), Продавец 89199021392  (https://vk.com/id185528388)","https://vk.com/zoonyanya2024"
7,181630971,"Пристройство животных ""Подари жизнь"" г. Сарапул","giftlife18.sarapul","Сарапул",894,"","https://vk.com/giftlife18.sarapul"
446,153476892,"Парикмахерская Сарапул | УСЫ&БОРОДА","usy_i_boroda","Сарапул",806,"(https://vk.com/id2120730), Мастер 89828384890  (https://vk.com/id347154403), мастер   (https://vk.com/id400077640), владелец, мастер   (https://vk.com/id476726467)","https://vk.com/usy_i_boroda"
487,190684395,"Ветеринарная клиника ХАТИКО | Сарапул","veterinarnaya_klinika_hatiko","Сарапул",664,"(https://vk.com/id72826877), 79127495310","https://vk.com/veterinarnaya_klinika_hatiko"
440,179887803,"+ Поиск лекарств по выгодной цене в Сарапуле +","vaptekahgorodasarapul","Сарапул",570,"","https://vk.com/vaptekahgorodasarapul"
383,227574116,"Сарапульский Цирюльникъ","barbershop_sarapool","Сарапул",527,"Руководитель    (https://vk.com/id376176326)","https://vk.com/barbershop_sarapool"
173,226722017,"Груминг Сарапул Стрижка друга","pawsandscratches","Сарапул",479,"(https://vk.com/id549299734)","https://vk.com/pawsandscratches"
169,225710453,"Собаки Ивана Тишина| Дрессировка Сарапул Ижевск","club225710453","Сарапул",407,"Инструктор РКФ по дрессировке собак 8(919)-903-38-88  (https://vk.com/id380425623)","https://vk.com/club225710453"
